date,phase,status,reason,utc,local_solar_hour,month,tiles,usable_frac,valid_px,water_px,urban_mean,urban_px,rural_strict,suhii_strict,rural_+rural,suhii_+rural,rural_wide,suhii_wide,suhii,suhii_spread,view_urban,view_rural,view_delta
2024-01-02,night,skipped,usable 2% < 30%,2024-01-02T16:23:18,22.28,1,45QXE+45QXF,0.0226,21676,25746,17.045,3165,17.117,-0.071,17.117,-0.071,17.027,0.018,-0.041,0.09,,,
2024-01-05,night,ok,,2024-01-05T15:35:00,21.48,1,45QWE+45QWF+45QXE+45QXF,0.6364,1056585,103075,16.742,489504,16.519,0.223,16.527,0.215,16.282,0.46,0.299,0.245,22.75,23.27,0.51
2024-01-17,day,ok,,2024-01-17T10:46:01,16.66,1,45QWE+45QWF+45QXE+45QXF,0.6099,1009668,126266,18.164,490037,18.219,-0.056,18.228,-0.064,18.243,-0.079,-0.066,0.024,7.54,8.03,0.49
2024-01-21,day,skipped,usable 19% < 30%,2024-01-21T09:10:12,15.06,1,45QWE+45QWF+45QXE+45QXF,0.1855,326689,126104,19.478,75010,19.895,-0.417,19.906,-0.428,19.806,-0.328,-0.391,0.1,,,
2024-02-24,night,skipped,usable 22% < 30%,2024-02-24T19:35:47,1.48,2,45QWE+45QWF+45QXE+45QXF,0.2194,324223,126125,20.512,126476,20.961,-0.449,20.962,-0.45,20.861,-0.348,-0.416,0.102,,,
2024-03-15,day,skipped,usable 2% < 30%,2024-03-15T11:39:29,17.55,3,45QWE+45QXE+45QXF,0.0225,31211,126151,31.922,27246,31.063,0.859,31.063,0.859,31.352,0.569,0.762,0.289,,,
2024-03-18,day,skipped,no usable LST pixels,2024-03-18T10:53:55,16.78,3,,,,,,,,,,,,,,,,,
2024-04-01,night,skipped,no usable LST pixels,2024-04-01T14:23:11,20.28,4,,,,,,,,,,,,,,,,,
2024-04-18,night,skipped,usable 11% < 30%,2024-04-18T22:06:28,4.0,4,45QWF+45QXE+45QXF,0.1075,190975,4011,25.404,30332,23.831,1.572,23.831,1.572,24.131,1.273,1.472,0.3,,,
2024-04-25,night,ok,,2024-04-25T19:37:08,1.51,4,45QWE+45QWF+45QXE+45QXF,0.3214,566265,20193,26.875,244043,25.276,1.599,25.274,1.601,25.362,1.512,1.571,0.089,26.71,26.18,0.53
2024-04-29,night,ok,,2024-04-29T17:57:36,23.84,4,45QWE+45QWF+45QXE+45QXF,0.9629,1622850,126241,28.991,618517,28.136,0.855,28.132,0.859,28.171,0.82,0.845,0.039,15.38,15.94,0.56
2024-05-14,day,skipped,usable 6% < 30%,2024-05-14T12:04:35,17.96,5,45QWE+45QWF+45QXE+45QXF,0.0581,100754,126185,30.362,27596,29.613,0.749,29.61,0.752,30.216,0.145,0.549,0.606,,,
2024-05-18,day,ok,,2024-05-18T10:22:37,16.26,5,45QWE+45QWF+45QXE+45QXF,0.5333,870835,126130,34.205,276083,33.778,0.426,33.779,0.426,33.982,0.223,0.358,0.203,16.32,15.62,0.7
2024-05-29,day,skipped,usable 17% < 30%,2024-05-29T06:07:48,12.01,5,45QWE+45QWF+45QXE+45QXF,0.1663,297599,126185,27.938,116208,27.138,0.8,27.127,0.812,27.066,0.872,0.828,0.072,,,
2024-06-02,day,skipped,no usable LST pixels,2024-06-02T04:27:24,10.34,6,,,,,,,,,,,,,,,,,
2024-06-24,night,skipped,no usable LST pixels,2024-06-24T19:31:51,1.41,6,,,,,,,,,,,,,,,,,
2024-07-09,night,skipped,no usable LST pixels,2024-07-09T13:57:37,19.84,7,,,,,,,,,,,,,,,,,
2024-07-10,night,skipped,no usable LST pixels,2024-07-10T13:09:55,19.05,7,,,,,,,,,,,,,,,,,
2024-07-13,day,skipped,no usable LST pixels,2024-07-13T12:22:11,18.26,7,,,,,,,,,,,,,,,,,
2024-07-17,day,skipped,usable 7% < 30%,2024-07-17T10:45:22,16.64,7,45QWE+45QWF+45QXE+45QXF,0.0705,116347,126251,29.933,23330,31.397,-1.464,31.397,-1.464,30.93,-0.997,-1.309,0.467,,,
2024-07-25,day,skipped,no usable LST pixels,2024-07-25T07:31:52,13.41,7,,,,,,,,,,,,,,,,,
2024-07-26,night,skipped,no usable LST pixels,2024-07-26T16:31:53,22.41,7,,,,,,,,,,,,,,,,,
2024-07-29,day,skipped,no usable LST pixels,2024-07-29T05:53:16,11.78,7,,,,,,,,,,,,,,,,,
2024-08-05,day,skipped,no usable LST pixels,2024-08-05T03:29:30,9.38,8,,,,,,,,,,,,,,,,,
2024-08-06,day,skipped,no usable LST pixels,2024-08-06T02:41:02,8.58,8,,,,,,,,,,,,,,,,,
2024-08-13,night,skipped,no usable LST pixels,2024-08-13T00:16:22,6.16,8,,,,,,,,,,,,,,,,,
2024-08-16,night,skipped,usable 29% < 30%,2024-08-16T22:39:23,4.54,8,45QWE+45QWF+45QXE+45QXF,0.294,522497,126185,26.681,170513,27.12,-0.439,27.124,-0.443,27.218,-0.537,-0.473,0.098,,,
2024-08-27,night,skipped,no usable LST pixels,2024-08-27T18:35:08,0.48,8,,,,,,,,,,,,,,,,,
2024-08-28,night,skipped,usable 5% < 30%,2024-08-28T17:47:11,23.68,8,45QWE+45QWF+45QXE+45QXF,0.0528,82817,126156,28.341,12709,28.03,0.311,28.03,0.311,28.596,-0.254,0.123,0.565,,,
2024-09-01,night,skipped,no usable LST pixels,2024-09-01T16:14:17,22.13,9,,,,,,,,,,,,,,,,,
2024-09-06,night,skipped,no usable LST pixels,2024-09-06T23:42:00,5.59,9,,,,,,,,,,,,,,,,,
2024-09-09,night,skipped,no usable LST pixels,2024-09-09T13:08:08,19.03,9,,,,,,,,,,,,,,,,,
2024-09-17,day,ok,,2024-09-17T10:01:20,15.91,9,45QWE+45QWF+45QXE+45QXF,0.8513,1423434,126173,36.526,560767,35.425,1.1,35.419,1.106,35.341,1.185,1.13,0.084,23.28,22.45,0.83
2024-09-20,day,skipped,no usable LST pixels,2024-09-20T09:14:44,15.13,9,,,,,,,,,,,,,,,,,
2024-09-29,day,skipped,no usable LST pixels,2024-09-29T05:16:36,11.16,9,,,,,,,,,,,,,,,,,
2024-09-29,night,skipped,no usable LST pixels,2024-09-29T15:06:03,20.99,9,,,,,,,,,,,,,,,,,
2024-10-06,day,skipped,no usable LST pixels,2024-10-06T02:51:34,8.74,10,,,,,,,,,,,,,,,,,
2024-10-10,day,ok,,2024-10-10T01:17:22,7.18,10,45QWE+45QWF+45QXE+45QXF,0.8909,1494708,125765,30.954,599397,30.612,0.342,30.622,0.332,30.75,0.204,0.292,0.138,17.54,18.12,0.58
2024-10-13,night,ok,,2024-10-13T23:41:57,5.58,10,45QWE+45QWF+45QXE+45QXF,0.9611,1619845,125988,27.009,616789,26.79,0.22,26.792,0.218,26.745,0.264,0.234,0.047,12.26,12.86,0.6
2024-10-17,night,skipped,usable 6% < 30%,2024-10-17T22:06:04,4.0,10,45QWF+45QXE+45QXF,0.0568,100449,57003,23.339,20304,22.84,0.499,22.838,0.5,22.833,0.505,0.501,0.006,,,
2024-11-05,night,ok,,2024-11-05T14:40:22,20.56,11,45QWF+45QXE+45QXF,0.3342,550660,60091,25.68,189390,25.187,0.493,25.183,0.497,25.131,0.549,0.513,0.056,5.65,5.65,0.0
2024-11-08,night,skipped,no usable LST pixels,2024-11-08T13:47:54,19.68,11,,,,,,,,,,,,,,,,,
2024-11-14,night,ok,,2024-11-14T20:17:53,2.18,11,45QXE+45QXF,0.3712,597194,78353,21.296,228630,21.666,-0.37,21.673,-0.376,21.325,-0.029,-0.258,0.348,25.62,24.86,0.77
2024-11-17,night,skipped,usable 0% < 30%,2024-11-17T19:29:06,1.38,11,45QWE+45QWF+45QXE+45QXF,0.0023,4226,0,20.743,543,21.042,-0.298,21.042,-0.298,20.974,-0.231,-0.276,0.067,,,
2024-11-20,day,ok,,2024-11-20T08:52:12,14.76,11,45QWE+45QWF+45QXE+45QXF,0.9183,1545014,126467,27.716,587911,27.38,0.336,27.376,0.34,27.374,0.342,0.339,0.006,9.74,10.38,0.63
2024-12-01,day,skipped,no usable LST pixels,2024-12-01T04:50:08,10.73,12,,,,,,,,,,,,,,,,,
2024-12-03,night,skipped,usable 29% < 30%,2024-12-03T13:02:42,18.93,12,45QWE+45QWF+45QXE+45QXF,0.2857,507246,11596,21.248,207107,20.547,0.702,20.546,0.702,20.526,0.722,0.708,0.02,,,
2024-12-09,day,skipped,usable 30% < 30%,2024-12-09T01:35:36,7.48,12,45QWE+45QWF+45QXE+45QXF,0.2987,512517,36821,16.066,273163,15.914,0.152,15.902,0.163,15.943,0.123,0.146,0.041,,,
2024-12-16,night,ok,,2024-12-16T22:17:54,4.18,12,45QWE+45QWF+45QXE+45QXF,0.8199,1365329,125437,15.188,567939,15.125,0.063,15.13,0.058,14.993,0.195,0.105,0.137,7.78,7.95,0.18
2024-12-20,night,skipped,no usable LST pixels,2024-12-20T20:38:40,2.53,12,,,,,,,,,,,,,,,,,
2024-12-27,night,skipped,too few urban pixels,2024-12-27T18:11:34,0.08,12,45QXF,0.0005,928,12,,,,,,,,,,,,,
2025-01-04,night,ok,,2025-01-04T14:53:36,20.78,1,45QWE+45QWF+45QXE+45QXF,0.8221,1367793,125959,16.597,573194,16.223,0.374,16.225,0.372,16.1,0.497,0.414,0.125,8.03,8.28,0.25
2025-01-05,night,ok,,2025-01-05T23:53:22,5.78,1,45QWE+45QWF+45QXE+45QXF,0.9625,1621911,126226,14.139,617845,14.153,-0.014,14.155,-0.016,14.074,0.065,0.012,0.082,15.55,16.91,1.36
2025-01-11,night,skipped,usable 1% < 30%,2025-01-11T12:22:26,18.26,1,45QWE+45QWF+45QXF,0.0116,21120,0,16.279,3044,16.2,0.079,16.2,0.079,16.253,0.026,0.061,0.053,,,
2025-01-12,night,skipped,usable 15% < 30%,2025-01-12T11:33:52,17.45,1,45QWE+45QXE+45QXF,0.1461,226299,46427,20.177,45979,19.946,0.231,19.946,0.231,19.81,0.367,0.276,0.136,,,
2025-01-15,day,skipped,usable 1% < 30%,2025-01-15T10:45:30,16.64,1,45QWE+45QWF+45QXE+45QXF,0.0051,5174,84557,17.152,1717,18.878,-1.726,18.878,-1.726,18.345,-1.193,-1.548,0.533,,,
2025-01-16,day,skipped,no usable LST pixels,2025-01-16T09:57:22,15.84,1,,,,,,,,,,,,,,,,,
2025-01-16,night,skipped,no usable LST pixels,2025-01-16T19:46:16,1.66,1,,,,,,,,,,,,,,,,,
2025-01-31,day,ok,,2025-01-31T04:12:15,10.09,1,45QWE+45QXE+45QXF,0.7183,1186626,122379,20.69,441565,21.258,-0.567,21.252,-0.562,21.079,-0.388,-0.506,0.179,27.01,26.04,0.98
2025-02-03,day,skipped,usable 29% < 30%,2025-02-03T03:23:06,9.28,2,45QWE+45QWF+45QXE+45QXF,0.294,519357,16362,20.868,220546,21.24,-0.372,21.243,-0.375,21.352,-0.484,-0.41,0.112,,,
2025-02-08,day,skipped,no usable LST pixels,2025-02-08T10:47:57,16.68,2,,,,,,,,,,,,,,,,,
2025-02-14,night,ok,,2025-02-14T22:34:03,4.46,2,45QWE+45QWF+45QXE+45QXF,0.3979,602219,126366,18.412,262478,18.78,-0.368,18.781,-0.369,18.667,-0.255,-0.331,0.114,9.62,11.18,1.56
2025-02-18,night,skipped,no usable LST pixels,2025-02-18T20:56:39,2.83,2,,,,,,,,,,,,,,,,,
2025-02-22,night,skipped,no usable LST pixels,2025-02-22T19:21:40,1.25,2,,,,,,,,,,,,,,,,,
2025-03-01,night,skipped,no usable LST pixels,2025-03-01T16:58:50,22.86,3,,,,,,,,,,,,,,,,,
2025-03-02,night,skipped,too few urban pixels,2025-03-02T16:11:11,22.08,3,45QWE+45QXE+45QXF,0.0,2,126190,,,,,,,,,,,,,
2025-03-06,night,skipped,too few rural pixels,2025-03-06T14:35:31,20.48,3,45QWE+45QXE,0.0007,102,104018,28.959,62,,,,,,,,,,,
2025-03-07,night,skipped,usable 16% < 30%,2025-03-07T23:37:22,5.51,3,45QWE+45QWF+45QXE+45QXF,0.1562,174876,126113,20.72,114936,21.19,-0.47,21.191,-0.471,21.152,-0.432,-0.458,0.039,,,
2025-03-09,night,skipped,no usable LST pixels,2025-03-09T13:47:56,19.68,3,,,,,,,,,,,,,,,,,
2025-03-10,night,skipped,too few rural pixels,2025-03-10T12:59:22,18.88,3,45QWE+45QXE+45QXF,0.0001,164,93885,30.352,133,,,,,,,,,,,
2025-03-13,night,skipped,no usable LST pixels,2025-03-13T12:11:50,18.08,3,,,,,,,,,,,,,,,,,
2025-03-14,day,skipped,too few urban pixels,2025-03-14T11:22:55,17.26,3,45QXE,0.0015,2507,1784,,,,,,,,,,,,,
2025-03-15,night,ok,,2025-03-15T20:24:13,2.29,3,45QWE+45QWF+45QXE+45QXF,0.9398,1584189,124119,24.366,609342,24.298,0.068,24.291,0.075,24.213,0.153,0.099,0.085,22.45,20.88,1.58
2025-03-17,day,skipped,usable 4% < 30%,2025-03-17T10:34:24,16.46,3,45QWE+45QWF+45QXE+45QXF,0.0436,78648,123867,30.897,16387,30.717,0.18,30.717,0.18,31.137,-0.24,0.04,0.421,,,
2025-03-19,night,ok,,2025-03-19T18:48:01,0.7,3,45QWF+45QXE+45QXF,0.502,839097,74314,25.393,258012,24.665,0.728,24.662,0.73,24.685,0.708,0.722,0.023,25.64,25.1,0.54
2025-04-01,day,skipped,no usable LST pixels,2025-04-01T04:55:38,10.81,4,,,,,,,,,,,,,,,,,
2025-04-02,day,ok,,2025-04-02T04:07:05,10.01,4,45QWE+45QWF+45QXE+45QXF,0.9628,1622147,126173,33.626,617068,32.994,0.632,32.987,0.638,33.128,0.497,0.589,0.141,17.42,16.8,0.62
2025-04-03,night,ok,,2025-04-03T13:09:09,19.05,4,45QWE+45QWF+45QXE+45QXF,0.6057,998017,126202,28.87,374069,28.725,0.144,28.728,0.142,28.676,0.194,0.16,0.052,6.87,8.04,1.16
2025-04-09,day,skipped,no usable LST pixels,2025-04-09T01:46:51,7.66,4,,,,,,,,,,,,,,,,,
2025-04-10,day,skipped,no usable LST pixels,2025-04-10T00:58:03,6.86,4,,,,,,,,,,,,,,,,,
2025-04-13,night,skipped,usable 6% < 30%,2025-04-13T23:24:31,5.29,4,45QWE+45QWF+45QXE+45QXF,0.0564,88894,126329,24.066,54364,23.341,0.725,23.344,0.722,23.261,0.805,0.751,0.082,,,
2025-04-16,night,skipped,no usable LST pixels,2025-04-16T22:37:18,4.51,4,,,,,,,,,,,,,,,,,
2025-04-17,night,skipped,usable 0% < 30%,2025-04-17T21:49:26,3.71,4,45QXE+45QXF,0.0002,212,17361,25.275,67,,,,,24.834,0.441,0.441,0.0,,,
2025-04-21,night,skipped,usable 4% < 30%,2025-04-21T20:13:38,2.11,4,45QXE+45QXF,0.0386,59675,19027,22.029,20261,22.741,-0.713,22.741,-0.713,22.933,-0.904,-0.777,0.191,,,
2025-04-24,night,ok,,2025-04-24T19:26:20,1.33,4,45QWE+45QWF+45QXE+45QXF,0.6275,1088762,55666,28.255,471222,26.657,1.599,26.668,1.587,26.685,1.57,1.585,0.028,25.42,25.14,0.28
2025-04-28,night,skipped,no usable LST pixels,2025-04-28T17:51:37,23.75,4,,,,,,,,,,,,,,,,,
2025-04-29,night,skipped,no usable LST pixels,2025-04-29T17:04:03,22.96,4,,,,,,,,,,,,,,,,,
2025-05-06,night,skipped,usable 1% < 30%,2025-05-06T14:42:43,20.59,5,45QWE+45QWF+45QXE+45QXF,0.0128,8211,125158,28.424,3150,28.298,0.127,28.298,0.127,28.332,0.092,0.115,0.035,,,
2025-05-14,day,ok,,2025-05-14T11:33:54,17.45,5,45QWE+45QWF+45QXE+45QXF,0.9624,1620881,126304,31.721,617055,31.978,-0.258,31.971,-0.25,31.892,-0.171,-0.226,0.086,15.17,15.73,0.57
2025-05-18,day,skipped,usable 15% < 30%,2025-05-18T09:59:11,15.88,5,45QWE+45QWF+45QXE+45QXF,0.1453,260214,126049,32.846,95580,32.161,0.685,32.156,0.69,31.839,1.007,0.794,0.322,,,
2025-06-02,day,skipped,no usable LST pixels,2025-06-02T04:23:32,10.28,6,,,,,,,,,,,,,,,,,
2025-06-03,day,ok,,2025-06-03T03:35:23,9.48,6,45QWE+45QWF+45QXE+45QXF,0.3114,531521,126186,29.798,243479,28.114,1.684,28.134,1.664,28.191,1.607,1.651,0.077,20.52,19.77,0.75
2025-06-10,day,skipped,no usable LST pixels,2025-06-10T01:08:57,7.03,6,,,,,,,,,,,,,,,,,
2025-06-11,day,skipped,no usable LST pixels,2025-06-11T00:21:37,6.24,6,,,,,,,,,,,,,,,,,
2025-06-13,night,skipped,no usable LST pixels,2025-06-13T23:31:48,5.41,6,,,,,,,,,,,,,,,,,
2025-06-21,night,skipped,no usable LST pixels,2025-06-21T20:17:51,2.18,6,,,,,,,,,,,,,,,,,
2025-06-28,night,skipped,no usable LST pixels,2025-06-28T17:50:29,23.73,6,,,,,,,,,,,,,,,,,
2025-07-02,night,skipped,no usable LST pixels,2025-07-02T16:12:35,22.09,7,,,,,,,,,,,,,,,,,
2025-07-15,night,skipped,no usable LST pixels,2025-07-15T20:17:57,2.18,7,,,,,,,,,,,,,,,,,
2025-07-18,day,skipped,usable 4% < 30%,2025-07-18T09:39:47,15.54,7,45QWF+45QXE+45QXF,0.037,51023,92061,31.98,17727,31.707,0.273,31.707,0.273,31.791,0.189,0.245,0.084,,,
2025-07-22,day,skipped,no usable LST pixels,2025-07-22T08:02:43,13.93,7,,,,,,,,,,,,,,,,,
2025-07-23,night,skipped,no usable LST pixels,2025-07-23T17:03:31,22.95,7,,,,,,,,,,,,,,,,,
2025-07-26,day,skipped,no usable LST pixels,2025-07-26T06:25:45,12.31,7,,,,,,,,,,,,,,,,,
2025-08-10,day,skipped,usable 28% < 30%,2025-08-10T00:42:45,6.59,8,45QWE+45QWF+45QXE+45QXF,0.2761,457850,126197,26.012,130016,26.173,-0.162,26.173,-0.162,26.256,-0.244,-0.189,0.082,,,
2025-08-13,night,skipped,no usable LST pixels,2025-08-13T23:04:30,4.96,8,,,,,,,,,,,,,,,,,
2025-08-20,night,skipped,no usable LST pixels,2025-08-20T20:39:27,2.54,8,,,,,,,,,,,,,,,,,
2025-08-24,night,skipped,too few rural pixels,2025-08-24T19:02:38,0.93,8,45QWF+45QXE+45QXF,0.0002,73,126042,27.547,73,,,,,,,,,,,
2025-08-28,night,skipped,usable 14% < 30%,2025-08-28T17:24:18,23.29,8,45QWE+45QWF+45QXE+45QXF,0.1368,239351,126084,28.052,92392,27.873,0.178,27.873,0.178,27.851,0.201,0.186,0.022,,,
2025-09-05,night,ok,,2025-09-05T14:08:53,20.03,9,45QWE+45QWF+45QXE+45QXF,0.7665,1273915,126101,29.199,421928,29.878,-0.679,29.882,-0.684,29.838,-0.64,-0.667,0.044,22.3,21.88,0.42
2025-09-09,night,skipped,no usable LST pixels,2025-09-09T12:31:50,18.41,9,,,,,,,,,,,,,,,,,
2025-09-16,day,skipped,no usable LST pixels,2025-09-16T10:04:25,15.96,9,,,,,,,,,,,,,,,,,
