date,phase,local_solar_hour,view_delta,usable_frac,urban_mean,rural_strict,suhii,tAir,rh,wind,cloud
2024-01-05,night,21.48,0.51,0.6364,16.742,16.519,0.299,17.35,81.86,1.07,0.05
2024-01-17,day,16.66,0.49,0.6099,18.164,18.219,-0.066,19.21,68.33,0.85,0.766
2024-04-25,night,1.51,0.53,0.3214,26.875,25.276,1.571,28.82,77.09,1.01,0.1
2024-04-29,night,23.84,0.56,0.9629,28.991,28.136,0.845,30.52,70.53,3.29,0.062
2024-05-18,day,16.26,0.7,0.5333,34.205,33.778,0.358,38.46,33.15,2.47,0.6
2024-09-17,day,15.91,0.83,0.8513,36.526,35.425,1.13,30.21,79.72,2.39,0.244
2024-10-10,day,7.18,0.58,0.8909,30.954,30.612,0.292,26.01,94.31,2.41,0.828
2024-10-13,night,5.58,0.6,0.9611,27.009,26.79,0.234,24.78,97.89,1.13,0.262
2024-11-05,night,20.56,0.0,0.3342,25.68,25.187,0.513,24.31,88.42,0.9,0.111
2024-11-14,night,2.18,0.77,0.3712,21.296,21.666,-0.258,20.21,85.9,1.0,0.005
2024-11-20,day,14.76,0.63,0.9183,27.716,27.38,0.339,24.92,66.73,2.01,0.186
2024-12-16,night,4.18,0.18,0.8199,15.188,15.125,0.105,9.86,98.66,1.33,0.044
2025-01-04,night,20.78,0.25,0.8221,16.597,16.223,0.414,14.41,92.75,1.34,0.108
2025-01-05,night,5.78,1.36,0.9625,14.139,14.153,0.012,10.93,100.0,1.22,0.837
2025-01-31,day,10.09,0.98,0.7183,20.69,21.258,-0.506,24.82,60.71,2.17,1.0
2025-02-14,night,4.46,1.56,0.3979,18.412,18.78,-0.331,13.11,75.81,1.46,0.03
2025-03-15,night,2.29,1.58,0.9398,24.366,24.298,0.099,24.49,100.0,1.98,0.406
2025-03-19,night,0.7,0.54,0.502,25.393,24.665,0.722,23.42,88.27,1.41,0.05
2025-04-02,day,10.01,0.62,0.9628,33.626,32.994,0.589,35.14,37.88,2.33,0.567
2025-04-03,night,19.05,1.16,0.6057,28.87,28.725,0.16,30.76,45.15,2.43,0.541
2025-04-24,night,1.33,0.28,0.6275,28.255,26.657,1.585,27.73,94.79,2.71,0.5
2025-05-14,day,17.45,0.57,0.9624,31.721,31.978,-0.226,36.89,40.22,4.33,0.084
2025-06-03,day,9.48,0.75,0.3114,29.798,28.114,1.651,34.29,52.39,3.45,0.958
2025-09-05,night,20.03,0.42,0.7665,29.199,29.878,-0.667,26.05,94.1,1.43,0.4
2025-09-28,day,11.06,0.07,0.3223,38.2,35.774,2.549,29.01,82.57,2.78,0.348
2025-09-29,night,20.09,0.48,0.9158,30.281,30.287,0.074,28.31,87.12,0.73,0.965
2025-10-09,day,7.09,0.17,0.5731,30.491,31.303,-0.675,25.34,95.27,1.56,0.852
2025-10-12,night,5.48,0.26,0.9543,25.415,25.717,-0.296,21.76,98.58,1.02,0.006
2025-10-16,night,3.91,0.56,0.9618,23.855,23.729,0.142,19.74,98.04,1.18,0.109
2025-10-24,night,0.78,0.56,0.9597,25.289,24.961,0.34,24.21,85.59,0.78,0.083
2025-11-21,day,13.66,0.34,0.5142,29.779,29.306,0.467,25.98,61.33,2.46,0.031
2025-12-07,day,7.41,1.19,0.8299,15.812,15.787,0.079,11.26,93.66,2.87,0.132
2025-12-10,night,5.84,1.32,0.7144,15.182,15.055,0.203,11.66,100.0,2.27,0.204
2025-12-14,night,4.26,1.09,0.4231,16.037,16.224,-0.076,11.63,100.0,1.53,0.033
2025-12-21,night,1.88,0.38,0.3438,14.959,14.615,0.328,11.92,99.57,1.6,0.062
2026-01-02,night,21.13,2.89,0.3096,16.52,16.929,-0.329,16.91,72.65,0.39,0.062
2026-01-22,day,13.29,0.7,0.9554,28.312,27.916,0.416,25.06,39.88,2.54,0.06
2026-01-23,night,22.31,0.43,0.4583,16.388,16.718,-0.235,15.64,64.79,1.28,0.004
2026-01-26,day,11.76,0.68,0.9264,27.516,26.965,0.534,26.76,41.33,2.94,0.351
2026-02-15,night,3.41,2.19,0.4557,18.713,18.717,-0.012,14.25,71.86,1.25,0.003
2026-03-05,night,5.66,0.34,0.3364,21.972,21.574,0.366,18.05,53.3,0.63,0.547
2026-04-02,night,19.03,1.47,0.8508,28.324,27.967,0.351,29.22,62.0,3.85,0.05
2026-04-12,night,5.38,0.38,0.9096,25.672,25.391,0.293,22.09,100.0,1.57,0.2
2026-04-20,night,2.29,0.52,0.6955,26.397,25.746,0.707,26.4,94.12,3.0,0.994
2026-04-24,night,0.75,0.56,0.9337,23.226,23.335,-0.113,27.29,94.2,2.07,0.373
