"SL No.","Borough","Ward","Name","Amenities","Area"
"1","I","4","C.I.T. Park at Rani Harashamukhi Rd.","Children's Park & Playground",""
"2","I","5","Bengal Gymkhana Ground","Nursery & Playground",""
"3","I","5","Children & Ladies Park at Tarasankar Sarani","Nursery & Playground","27759"
"4","I","5","Jatindra Mohan Park (Tala Jheel Park)","Nursery","27759"
"5","I","7","Sister Nivedita Uddyan","Playground & Children's Park",""
"6","I","9","Kumartully Park at 18 Abhoy Mitra St.","Playground & Children's Park",""
"7","I","2","Children's Park at Biswanath Colony South Sinthi Road","","1227"
"8","I","2","Children's Park at Panchanantala","Children's Park",""
"9","I","2","Park at Sabji Bangan","Playground",""
"10","I","4","Children's Park at Northern Avenue","Children's park",""
"11","I","4","Biplobi Ganesh Ghosh Uddyan Northern Avenue","Children's Park & Playground",""
"12","I","5","Talapark Circus Maidan, Tara Sankar Sarani","Playground",""
"13","I","9","Maharaja Narendra K. Deb. Jatindra Mohan Avenue Park","",""
"14","II","12","Gouribari C.I.T. Park","Children's Playground","1543"
"15","II","12","Deshbandhu Park at Raja Dinendra St.","Nursery, Ladies corner Playground","72311"
"16","II","16","Goabagan C.I.T. Park","Playground","3110"
"17","II","19","B.K.Pal Park","Children's Park","4433"
"18","III","29","Bagmari Park (At Maniktola Main Rd.), beside housing estate","Playground",""
"19","III","30","New Park at 106/C, Narkeldanga Rd. (Vivek Uddyan)","Children's Park",""
"20","III","31","A.P.C. Park at Ramkrishna Samadhi Rd.","Children's park, Nursery, Green house, Playground",""
"21","III","32","Prafulla Khudiram Uddyan at CIT Sect. VIII M","Children's corner, Landscape, Garden fountain, Lighting.",""
"22","III","31","Ramkrishna Mahila Sishu Uddyan","Children's Park",""
"23","IV","21","Jorabagan Park, 2, Baisnab Sett St.","Playground, Children's Park, Religious Function Club",""
"24","IV","23","Satyanarayan Park at the Junction of Kalakar St. & Cotton St.","Children's Park","2846"
"25","IV","25","Girish Park at the Junction of C.R.Avenue & Vivekanda Rd.","Children's Park, Landscape, Garden Fountain, Lilypool with over bridge.","3650"
"26","IV","25","Kalisinghi Park","Playground","2782"
"27","IV","26","Rabindra Kanan at 9, Beadon St.","Playground, Children's Park, Religious Centre, CMC building, Club Temple","14084"
"28","IV","27","Azad Hind Bag at 5, Bidhan Sarani","Tank at the Centre for Swimming Practice, Children's park, Shelter Shed & Flower Garden","5786"
"29","IV","28","Sadhana Sankar Uddyan at 204/2, APC Rd.","Mohila Yoga Kendra","3545"
"30","IV","38","Vidyasagar Park at 26/1, Badur Bagan Lane","Children's Park","3357"
"31","IV","38","Hrishikesh Park","Children's Park",""
"32","IV","23","Tarasundar Park, 56, Ratan Sankar Garden Lane","VAT CESC's Room","1616"
"33","IV","25","Saroda Banerjee Park","Playground","2782"
"34","IV","38","Jhama Pukur Square at 36, Guru Prosad Chowdhury Lane","Playground","1896"
"35","V","40","Vidyasagar Uddyan (College Square) 53/1, College St.","Children's Corner & Swimming Tank","17792"
"36","V","45","Millenium Park from Babughat to Kadamtala","Garden",""
"37","V","45","Town Hall & Millenium Park","Landscape & Flower Bed",""
"38","V","49","Shradhananda Park at 34, Suyra Sen St.","Children's Playground, Nursery, Flower Bed, KMC Office","6614"
"39","V","50","Santosh Mitra Square (Lebutola Park), Ram Narayan Motilal Lane","Children's Playground, Nursery","9833"
"40","VI","46","Chaplin Square & CMO Bldg. 5/2, Chowringhee Place, Kol-13","Children's Corner",""
"41","VI","47","Girin Banerjee Park on Ganesh Ch. Avenue","Children's Corner & Nursery","2742"
"42","VI","55","Convent Park at 13, Convent Rd.","Children's Corner, Nursery","4298"
"43","VI","55","Ramlila Park","Playground & Children's Park",""
"44","VI","55","C.I.T. Padyapukur Park","Playground",""
"45","VI","62","Hazi Mohammed Mahasin Square","Pond","16588"
"46","VI","62","Mireea Elliod Square (Ripon Square)","Playground","2325"
"47","VI","62","Triangular Park Jn. of Rafi Ahmed Kidwai St. & Ripon St.","",""
"48","VI","46","Park opposite Pearless Inn","",""
"49","VII","63","Rana Pratap Uddyan (Mc. Pherson Square) at 14/1, Loudon St.","Park & Nursery",""
"50","VII","63","Loudon Square (Nature Park) at 4, Loudon St.","Nature Study Park","7625"
"51","VII","63","Gopinath Saha Uddyan (Allen Park) at 28, Park St.","Children's Park","5493"
"52","VII","63","Victoria Sq./Albent T Rd.","Park & Water Body","13311"
"53","VII","63","Mintoo Park, 5/1, A.J.C. Bose Rd.","Park & Water Body","14782"
"54","VII","64","National Congress Park (Park Circus Maidan)","","36954"
"55","VII","68","Children Park on Ekdalia Rd.","Children's Corner",""
"56","VII","85","Deshapriya Park","Playground, Tennis Court, Children's Park","27629"
"57","VII","56","Children's Park at 108, D.C.Dey Rd.","Children's Park","3854"
"58","VII","68","Park at 7, Carnfield Rd.","Children's Corner",""
"59","VIII","69","Maddox Square at 9, Pankaj Mallik Sarani","Children's Playground",""
"60","VIII","70","Dwarkanath Mitra Square at 13, Ashutosh Mukherjee Rd., Kolkata-20","Children's Playground",""
"61","VIII","70","Northern Park at 48, Allenby Rd.","Children's Playground",""
"62","VIII","70","Woodburn Park at 28 Woodburn Rd.","Children's Corner & Playground",""
"63","VIII","72","Landsdown Square at 49, Padmapukur","Water Tank",""
"64","VIII","73","Harish Park at 16, Harish Mukherjee Rd. Kolkata-25","Children's Corner & Playground",""
"65","VIII","73","Jatin Das Park at 9/1, S.P.Mukherjee Rd. Kolkata-25","Children's Corner & Playground",""
"66","VIII","84","Kalighat Park at 125, S.P.Mukherjee Rd.","Children's Corner & Playground",""
